population,shortName,x,y,면적,광역시도,행정구역
313851,원주,10,7,867.3,강원도,원주시
264144,춘천,10,3,1116.35,강원도,춘천시
202520,강릉,11,4,1040.07,강원도,강릉시
86747,동해,11,5,180.01,강원도,동해시
76733,속초,9,1,105.25,강원도,속초시
63986,삼척,11,8,1185.8,강원도,삼척시
62957,홍천,10,4,1817.94,강원도,홍천군
44175,태백,11,7,303.57,강원도,태백시
43189,철원,6,0,899.82,강원도,철원군
39668,횡성,10,5,997.82,강원도,횡성군
38439,평창,10,6,1463.65,강원도,평창군
34966,영월,10,8,1127.36,강원도,영월군
34242,정선,11,6,1220.67,강원도,정선군
29260,인제,9,2,1646.08,강원도,인제군
25589,고성(강원),9,0,664.19,강원도,고성군
24551,양양,10,2,628.68,강원도,양양군
23612,화천,7,0,909.45,강원도,화천군
20809,양구,8,0,700.8,강원도,양구군
