대여소,상태,주소,위도,경도
광진교 남단 사거리(디지털프라자앞),운영중,서울특별시 강동구 구천면로 171 376 남단사거리,37.541805,127.124718
해공공원(천호동),운영중,서울특별시 강동구 올림픽로 702 265,37.545219,127.125916
해공도서관앞,운영중,서울특별시 강동구 올림픽로 702 367,37.543915,127.125458
삼성광나루아파트 버스정류장,운영중,서울특별시 강동구 상암로3길 77 암사동 534,37.553349,127.128860
롯데캐슬 115동앞,운영중,서울특별시 강동구 양재대로 1665 명일동 304,37.554920,127.142799
암사동 선사유적지,운영중,서울특별시 강동구 올림픽로 875 암사동 139-2,37.559517,127.130844
암사역 3번출구(국민은행앞),운영중,서울특별시 강동구 올림픽로 지하 776 암사동 555,37.549549,127.127151
천호역4번출구(현대백화점),운영중,서울특별시 강동구 천호대로 지하 997 성내동 62-1,37.538658,127.124214
(구)합정동 주민센터,운영중,서울특별시 마포구 동교로8길 58 444-12,37.549561,126.905754
강동세무서,운영중,서울특별시 강동구 천호대로 1139 길동 467,37.534481,127.138344
LIGA 아파트 앞,운영중,서울특별시 강동구 천호대로 1120 성내동 450-31,37.534771,127.135239
서울 상운차량,운영중,서울특별시 강동구 올림픽로 610 성내동 93-34,37.536026,127.122726
강동구청역 1번 출입구,운영중,서울특별시 강동구 올림픽로 지하 550 1번 출입구,37.530773,127.120926
강동구평생학습관앞,운영중,서울특별시 강동구 고덕로 295 명일동 320-2,37.550800,127.142624
샛마을 근린공원,운영중,서울특별시 강동구 구천면로 431-2 샛마을 근린공원,37.550079,127.146912
해뜨는 주유소옆 리엔파크 109동앞,운영중,서울특별시 강동구 상일로 152 강일동 607-14,37.559399,127.171158
맥도날드(길동),운영중,서울특별시 강동구 천호대로 1207 맥도날드(길동),37.535473,127.145172
둔촌 주공 GS 맞은편,운영중,서울특별시 강동구 양재대로 1330 둔촌동 541-6,37.524681,127.135406
다성이즈빌아파트(호원대 대각선 맞은편),운영중,서울특별시 강동구 성내로 91 다성이즈빌아파트(호원대 대각선 맞은편),37.526825,127.130028
망원역 1번출구 앞,운영중,서울특별시 마포구 월드컵로 72 475-54,37.555649,126.910629
강동경찰서,운영중,서울특별시 강동구 성내로 57 강동경찰서,37.528290,127.126801
강일동 리슈빌 빌딩앞,운영중,서울특별시 강동구 아리수로 419 강일동 306-7,37.564301,127.173950
길동 사거리(초소앞),운영중,서울특별시 강동구 양재대로 1441 성내동 379-41,37.533764,127.138031
한국종합기술사옥 앞,운영중,서울특별시 강동구 상일동 504  상일동 삼성엔지니어링 앞,37.549999,127.174690
강동구청 앞,운영중,서울특별시 성내동 546-3  강동구청 앞,37.529251,127.123108
상일초등학교,운영중,서울특별시  상일동 440-3 상일초등학교,37.546841,127.172516
대명초교 입구 교차로,운영중,서울특별시 명일동 59 대명초교 입구 교차로,37.546631,127.155884
프라자 아파트 앞,운영중,서울특별시 길동 176-3 프라자 아파트 앞,37.535999,127.147697
포레스 주상복합 빌딩,운영중,서울특별시 성내동 119-2 포레스 주상복합 빌딩,37.533100,127.122780
롯데 시네마,운영중,서울특별시 성내동  44-1 롯데 시네마,37.536541,127.125397
망원역 2번출구 앞,운영중,서울특별시 마포구 월드컵로 79 378-18,37.554951,126.910835
미호 플랜트 앞,운영중,서울특별시 성내동 478 미호 플랜트 앞,37.527061,127.122070
암사동 CBIS,운영중,서울특별시 암사동 440-13 암사동 CBIS,37.555851,127.129898
선사고등학교,운영중,서울특별시 암사동 445 선사고등학교,37.556728,127.136208
고덕동 아남아파트,운영중,서울특별시 고덕동 673 고덕동 아남아파트,37.557991,127.144707
고덕동 래미안 힐스테이트,운영중,서울특별시 고덕동 603 고덕동 래미안 힐스테이트,37.561909,127.150749
고덕역 4번출구,운영중,서울특별시 명일동 46-5 고덕역 4번출구,37.555016,127.155273
고덕동 주양쇼핑,운영중,서울특별시 명일동 48-2 고덕동 주양쇼핑,37.551998,127.153297
강일 6단지,운영중,서울특별시 강일동 448-2 강일 6단지,37.562588,127.177612
강일 다솜 어린이 공원,운영중,서울특별시 강일동 333-2 강일 다솜 어린이 공원,37.568668,127.174797
고덕초등학교,운영중,서울특별시 고덕동 215 고덕초등학교,37.561279,127.167801
합정역 1번출구 앞,운영중,서울특별시 마포구 양화로 59 393-7,37.550629,126.914986
묘곡초등학교,운영중,서울특별시 고덕동 499-2 묘곡초등학교,37.559196,127.153297
5단지 사이,운영중,서울특별시 강일동 63-20 강일 2.5단지 사이,37.568562,127.177002
굽은다리역,운영중,서울특별시  양재대로 1572 굽은다리역,37.545399,127.142601
건강보험 강동지사kt,운영중,서울특별시 강동구 천호대로175길 39 건강보험 강동지사kt,37.536381,127.137253
동부기업(둔촌동),운영중,서울특별시 강동구 진황도로 172 동부기업,37.531013,127.142365
강일동 10단지 아파트,운영중,서울특별시 강동구 고덕로97길 20 강일동 10단지 아파트,37.561180,127.180267
합정역 5번출구 앞,운영중,서울특별시 마포구 양화로 48 394-95,37.550007,126.914825
둔촌역 3번 출입구,운영중,서울특별시 강동구 양재대로 1355 둔촌역 3번 출입구,37.526695,127.135529
